"employee_name","emp_no","dept_name"
"Lene Birta",106580,"Sales"
"Noritoshi Zizka",106596,"Sales"
"Chaitali Remmers",106598,"Sales"
"Vojin Maliniak",106630,"Sales"
"Eben Famili",106638,"Sales"
"Martina Aingworth",106644,"Sales"
"Youpyo Bardell",106651,"Sales"
"Willard Harllee",106652,"Sales"
"Remmert Muhlberg",106654,"Sales"
"Goa Mandell",106657,"Sales"
"Kamakshi Socorro",106658,"Sales"
"Zhongwei Mersereau",106668,"Sales"
"Tesuro Bahl",106673,"Sales"
"Adin Liesche",106675,"Sales"
"Vishwani Oppitz",106678,"Sales"
"Arie Felcyn",106680,"Sales"
"Kwangjo Ghandeharizadeh",106681,"Sales"
"Phillip Pulkowski",106686,"Sales"
"Zsolt Boguraev",106707,"Sales"
"Hugh Pews",106712,"Sales"
"Kaijung Radwan",106714,"Sales"
"Ulises Baca",106719,"Sales"
"Tetsushi Chvatal",106724,"Sales"
"Suebskul Ghalwash",106733,"Sales"
"Shmuel Isard",106734,"Sales"
"Yannik Cullers",106738,"Sales"
"Tomoyuki Goldhammer",106741,"Sales"
"Gaurav Narahara",106742,"Sales"
"Sushant Salvesen",106751,"Sales"
"Tonia Birjandi",106752,"Sales"
"Fumino Kading",106761,"Sales"
"Shaibal Erol",106762,"Sales"
"Zorica Molenaar",106766,"Sales"
"LiMin Srimani",106770,"Sales"
"Radhakrishnan Yurov",106771,"Sales"
"Fumitake Barriga",106772,"Sales"
"Gad Speer",106777,"Sales"
"Jiakeng Rehfuss",106778,"Sales"
"Akemi Conta",106779,"Sales"
"Mack Ranum",106803,"Sales"
"Taegyun Muchinsky",106805,"Sales"
"Odinaldo Hitomi",106808,"Sales"
"Yongqiao Rotem",106809,"Sales"
"Boaz Denti",106810,"Sales"
"Yucel Akazan",106811,"Sales"
"Feipei Wursthorn",106817,"Sales"
"Slavian Bennet",106826,"Sales"
"Shigeu Danley",106830,"Sales"
"Nalini Gips",106834,"Sales"
"Flemming Anido",106835,"Sales"
"Yurii Ghemri",106836,"Sales"
"Elvia Nitto",106837,"Sales"
"Hatem Luke",106838,"Sales"
"Shigehiro Gide",106841,"Sales"
"Eldridge Bahi",106846,"Sales"
"Aris Gyimothy",106853,"Sales"
"Bernardo Cronin",106856,"Sales"
"Conrado Molenaar",106857,"Sales"
"Divier Chappelet",106864,"Sales"
"Jackson Birsak",106870,"Sales"
"Joydip Chinal",106873,"Sales"
"Val Rahier",106876,"Sales"
"Temple Hemaspaandra",106877,"Sales"
"Gil Jayawardene",106883,"Sales"
"Ger Plesums",106888,"Sales"
"Mingdong Demian",106890,"Sales"
"Weiru Kaelbling",106895,"Sales"
"Susanna Chaudhury",106897,"Sales"
"Evgueni Alvarado",106898,"Sales"
"Ohad Fontan",106906,"Sales"
"Sariel Cappello",106917,"Sales"
"Demin Stasinski",106918,"Sales"
"Kazuhiko Farrow",106935,"Sales"
"Adamantios Wilharm",106937,"Sales"
"Zhilian Beausoleil",106939,"Sales"
"Mohit Reeker",106940,"Sales"
"Oksana Luiz",106946,"Sales"
"Lansing Pleszkun",106962,"Sales"
"Frazer Ozeri",106966,"Sales"
"Yechezkel Baumann",106974,"Sales"
"Masadi Nastansky",106975,"Sales"
"Nirmal Narwekar",106976,"Sales"
"Eckart Nations",106990,"Sales"
"Nathan Denis",106992,"Sales"
"Aiman Hofman",106998,"Sales"
"Marit Hambrick",106999,"Sales"
"Uno Rajaraman",107007,"Sales"
"Pranjal Harllee",107009,"Sales"
"Gritta Kitai",107011,"Sales"
"Martine Ertl",107012,"Sales"
"Shaowei Giarratana",107016,"Sales"
"Noritoshi Majewski",107019,"Sales"
"Hideyuki Pashtan",107023,"Sales"
"Gro Rande",107028,"Sales"
"Pramod Meriste",107039,"Sales"
"Olivera Ghelli",107047,"Sales"
"Chinho Macedo",107053,"Sales"
"Hilari Tsukune",107055,"Sales"
"Xumin Pesch",107056,"Sales"
"Jessie Kaelbling",107058,"Sales"
"Tomokazu Oppitz",107059,"Sales"
"Navin Meszaros",107075,"Sales"
"Fumitaka Riexinger",107079,"Sales"
"Karlis Wolniewicz",107082,"Sales"
"Mabo Delgrande",107085,"Sales"
"Baoqiu Aamodt",107094,"Sales"
"Ranan Huhdanpaa",107096,"Sales"
"Kitty Badache",107097,"Sales"
"Florina Verhoeff",107098,"Sales"
"Maren Cannata",107099,"Sales"
"Mabo Neiman",107102,"Sales"
"Elzbieta Kemmerer",107107,"Sales"
"Sushant VanScheik",107113,"Sales"
"Rayond Swift",107126,"Sales"
"Nechama Anandan",107130,"Sales"
"Kwangyoen Morrin",107132,"Sales"
"Ortrud Diderrich",107140,"Sales"
"Nathalie Ranai",107141,"Sales"
"Kwangjo Borovoy",107150,"Sales"
"Arlette Erev",107154,"Sales"
"Shawna Leuchs",107161,"Sales"
"Honglan dAstous",107163,"Sales"
"Tzvetan Zweizig",107185,"Sales"
"Duri Seghrouchni",107198,"Sales"
"Gadiel Pauthner",107199,"Sales"
"Danil Gammage",107207,"Sales"
"Phuoc Assaf",107224,"Sales"
"Conrado Waleschkowski",107228,"Sales"
"Hairong Randt",107231,"Sales"
"Ennio Khalil",107240,"Sales"
"Mantis Ellozy",107244,"Sales"
"Manu Herath",107247,"Sales"
"Rosine Czaja",107257,"Sales"
"Parviz Zaumen",107258,"Sales"
"Wayne Tsukune",107260,"Sales"
"Arunas Murtha",107261,"Sales"
"Roded Rosti",107267,"Sales"
"Sachar Tibblin",107278,"Sales"
"Reuven McFarlin",107280,"Sales"
"Haldon Ballarin",107293,"Sales"
"Arif Isaac",107295,"Sales"
"Shridhar Segond",107306,"Sales"
"Eberhardt Boyle",107307,"Sales"
"Siddarth Erde",107309,"Sales"
"Mayuko Perng",107313,"Sales"
"Jessie Dengi",107315,"Sales"
"Szabolcs Thummel",107317,"Sales"
"Kristian Beidas",107318,"Sales"
"Demin Sherertz",107325,"Sales"
"Navid Bednarek",107330,"Sales"
"Menkae Frezza",107333,"Sales"
"Rafail Peak",107334,"Sales"
"Martine Gire",107337,"Sales"
"Guttorm Baer",107343,"Sales"
"Xiong Lamma",107359,"Sales"
"Tru Roccetti",107360,"Sales"
"Xiahua Erman",107362,"Sales"
"Atilio Wolniewicz",107373,"Sales"
"Irene Katiyar",107377,"Sales"
"Matt Demos",107380,"Sales"
"Heon Pargas",107383,"Sales"
"Jasminko Schicker",107393,"Sales"
"Xiping Stenning",107395,"Sales"
"Yuqun Ramamoorthy",107399,"Sales"
"Chanjung Bernick",107406,"Sales"
"Volkmar Siegrist",107416,"Sales"
"Premsyl Hebden",107427,"Sales"
"Saeed Wossner",107430,"Sales"
"Pranas Leaver",107434,"Sales"
"Toong Mamelak",107442,"Sales"
"Yahiko Yurov",107443,"Sales"
"Pintsang Nations",107447,"Sales"
"Amstein Denny",107455,"Sales"
"Kazuhide Acton",107471,"Sales"
"Taiji Goodrum",107474,"Sales"
"Yongdong Klyachko",107476,"Sales"
"Cullen Eppinger",107477,"Sales"
"Krister Dolinsky",107478,"Sales"
"Douadi Kalsbeek",107479,"Sales"
"Kayoko Figueira",107480,"Sales"
"Zhenhua Riesenhuber",107490,"Sales"
"Wuxu Prampolini",107493,"Sales"
"Oksana Maliniak",107497,"Sales"
"Karoline Masada",107500,"Sales"
"Munehiko Thorensen",107502,"Sales"
"Rajmohan Mapelli",107508,"Sales"
"Haldon Nannarelli",107517,"Sales"
"Freyja Ranka",107527,"Sales"
"Shakhar McAlpine",107530,"Sales"
"Dipayan Siepmann",107533,"Sales"
"Shahab Eldridge",107539,"Sales"
"Jaques Soloway",107540,"Sales"
"Zvonko Conry",107554,"Sales"
"Kauko Swift",107561,"Sales"
"Mart Shihab",107575,"Sales"
"Kish Ohori",107580,"Sales"
"Marsal Magliocco",107584,"Sales"
"Subbu Sidje",107589,"Sales"
"Elvis Luit",107591,"Sales"
"Yuguang Hockney",107595,"Sales"
"Radoslaw Cooley",107607,"Sales"
"Cullen Servieres",107609,"Sales"
"Alain Gruenwald",107617,"Sales"
"Nigel Sambasivam",107619,"Sales"
"Mabo Cooke",107633,"Sales"
"Angus Sooriamurthi",107634,"Sales"
"Ingmar Ernst",107642,"Sales"
"Baocai Bratsberg",107647,"Sales"
"Weiru Feldhoffer",107662,"Sales"
"Otmar Gischer",107671,"Sales"
"Nectarios Perna",107680,"Sales"
"Uma Chandrasekhar",107684,"Sales"
"Rimli Perz",107688,"Sales"
"Kenton Bharadwaj",107693,"Sales"
"Takanari Delgrossi",107694,"Sales"
"Dulce Berendt",107696,"Sales"
"Weidon Steenbeek",107700,"Sales"
"Fumiyo Gist",107701,"Sales"
"Sumant Birjandi",107712,"Sales"
"Jaewoo Arlazarov",107719,"Sales"
"Zhenbing Msuda",107730,"Sales"
"Lorien Jansch",107738,"Sales"
"Gio Lukaszewicz",107740,"Sales"
"Cathie Erman",107747,"Sales"
"Izaskun Staelin",107750,"Sales"
"Yagil Kitai",107755,"Sales"
"Tamiya Vesel",107762,"Sales"
"Chirstian Dulin",107765,"Sales"
"Aris Thebaut",107783,"Sales"
"Otilia Plump",107790,"Sales"
"Narain Granlund",107807,"Sales"
"Peer Vidal",107815,"Sales"
"Ewing Murtagh",107821,"Sales"
"Hatem Kroll",107822,"Sales"
"Vishu Perez",107827,"Sales"
"Ramya Walston",107828,"Sales"
"Sungwon Ladret",107830,"Sales"
"Idoia Gulak",107838,"Sales"
"Kazuhide Conti",107843,"Sales"
"Hideyuki Mansanne",107846,"Sales"
"Siamak Speckmann",107862,"Sales"
"Rance Uhrig",107870,"Sales"
"Jackson Koshino",107872,"Sales"
"Nathan Tsunoo",107873,"Sales"
"Khalid Mersereau",107885,"Sales"
"Moss Ravishankar",107897,"Sales"
"Munir Honiden",107901,"Sales"
"Nectarios Yavatkar",107906,"Sales"
"Yagil Jervis",107911,"Sales"
"Yonghong Yemenis",107912,"Sales"
"Ronghao Rajala",107918,"Sales"
"Achilleas Georgakopoulos",107924,"Sales"
"Gennady Teitelbaum",107930,"Sales"
"Weiye Oaver",107933,"Sales"
"Sugwoo Walstra",107936,"Sales"
"Jayesh Gomatam",107960,"Sales"
"Miomir Chepyzhov",107967,"Sales"
"Goncalo Staudhammer",107975,"Sales"
"Valeska Hashii",107976,"Sales"
"Chriss Bergere",107978,"Sales"
"Elvis Mattern",107981,"Sales"
"Khoa Spataro",107994,"Sales"
"Rosita Collavizza",107995,"Sales"
"Licheng Nitta",107996,"Sales"
"Masoud Perfilyeva",107997,"Sales"
"Kazuhiko Rajala",108002,"Sales"
"Hideyuki Legleitner",108006,"Sales"
"Jiong Khamsi",108008,"Sales"
"Arunachalam Schonegge",108010,"Sales"
"Marke Yetto",108023,"Sales"
"Tayeb Harbusch",108024,"Sales"
"Dietrich Heijenga",108032,"Sales"
"Jayson Chinal",108042,"Sales"
"Ranga Sinicrope",108045,"Sales"
"Abdelghani Nilsson",108053,"Sales"
"Khoa Bennis",108070,"Sales"
"Geraldo Nittel",108075,"Sales"
"Khun Molenkamp",108085,"Sales"
"Kwok Delgrossi",108093,"Sales"
"Val Halevi",108101,"Sales"
"Angus Ranum",108102,"Sales"
"Moti Terkki",108122,"Sales"
"Nimmagadda Puppo",108131,"Sales"
"Sampalli Swist",108132,"Sales"
"Heekeun Ishibashi",108135,"Sales"
"Berto Middleton",108138,"Sales"
"Francoise Kalefeld",108140,"Sales"
"Shrikanth Lortz",108143,"Sales"
"Ult Isard",108144,"Sales"
"Shakhar Leslie",108151,"Sales"
"Lene Puppo",108153,"Sales"
"Khalil Versino",108167,"Sales"
"Kazuhito Etalle",108170,"Sales"
"Alois Angelopoulos",108172,"Sales"
"Eberhardt Grospietsch",108180,"Sales"
"Uri Schaar",108185,"Sales"
"Oscal Middleton",108194,"Sales"
"Leucio Verspoor",108195,"Sales"
"Kenroku Rodham",108202,"Sales"
"Gian Reghbati",108211,"Sales"
"Masali Versino",108212,"Sales"
"Temple Mukaidono",108215,"Sales"
"Lijia Shobatake",108216,"Sales"
"Mohan Munoz",108217,"Sales"
"Weiwu Yetto",108219,"Sales"
"Baocai Kaminger",108225,"Sales"
"Nikolaus Harllee",108228,"Sales"
"Gladys Wilfing",108233,"Sales"
"Barna Beeson",108239,"Sales"
"Chaitali Merli",108243,"Sales"
"Augustine Anandan",108250,"Sales"
"Roselyn Rissanen",108257,"Sales"
"Snehasis Plumb",108269,"Sales"
"Prodip Snyers",108271,"Sales"
"Takahito Niizuma",108273,"Sales"
"Holgard Eiter",108276,"Sales"
"Menkae Farrar",108295,"Sales"
"Diederik Suermann",108307,"Sales"
"Sanjay Rathonyi",108311,"Sales"
"Khun Ramamoorthy",108313,"Sales"
"Shao Fujisaki",108315,"Sales"
"Seongbin Maquelin",108320,"Sales"
"Basant Hutton",108329,"Sales"
"JoAnne Jiafu",108330,"Sales"
"Hyuckchul Miara",108337,"Sales"
"Stevo Montemayor",108341,"Sales"
"Matt Frezza",108346,"Sales"
"Gay Danecki",108347,"Sales"
"Herbert Velardi",108351,"Sales"
"Utpal Denna",108353,"Sales"
"Arch Poujol",108354,"Sales"
"Heeju Middleton",108355,"Sales"
"Junsik Panwar",108356,"Sales"
"Aloke Luef",108363,"Sales"
"Rimon Rouquie",108367,"Sales"
"Ger Boissier",108372,"Sales"
"Greger Ananiadou",108375,"Sales"
"Shounak Schmezko",108380,"Sales"
"Udi Delaune",108390,"Sales"
"Jaroslava Claffy",108395,"Sales"
"Jianwen Flowers",108396,"Sales"
"Patricia Bach",108406,"Sales"
"Izaskun Ertl",108412,"Sales"
"Baruch Pietrzykowski",108420,"Sales"
"Susumu Markovitch",108426,"Sales"
"Xiaoqiang Conta",108440,"Sales"
"Lenore Polajnar",108443,"Sales"
"Gretta Isard",108445,"Sales"
"Tokuyasu Reeken",108450,"Sales"
"Ayakannu Bahl",108451,"Sales"
"Roded Peroz",108460,"Sales"
"Aral Sury",108461,"Sales"
"Tetsushi Bamford",108463,"Sales"
"Aruna Brender",108471,"Sales"
"Gou Malinowski",108479,"Sales"
"Hidefumi Mawatari",108506,"Sales"
"Hironobu Clouatre",108525,"Sales"
"Khue Pellegrinelli",108528,"Sales"
"Arvind Luft",108532,"Sales"
"Fumino Baba",108536,"Sales"
"Nigel Pearson",108537,"Sales"
"Jordanka Mapelli",108541,"Sales"
"Sandeepan Francisci",108544,"Sales"
"Masasuke Kieras",108549,"Sales"
"Yahiko Garnick",108551,"Sales"
"Leah Giveon",108554,"Sales"
"Hsiangchu Brookner",108564,"Sales"
"Vidar Siochi",108569,"Sales"
"Boutros Swan",108573,"Sales"
"Visit Remmele",108574,"Sales"
"Tiina Andreotta",108580,"Sales"
"Zorica Besancenot",108591,"Sales"
"Pradeep Kushnir",108593,"Sales"
"Naftali Serra",108596,"Sales"
"Francesca Lakshmanan",108607,"Sales"
"Taiji Lorch",108608,"Sales"
"Saeko Roohalamini",108621,"Sales"
"Huan Sudbeck",108629,"Sales"
"Stevo Stranks",108639,"Sales"
"Jinxi Schaad",108651,"Sales"
"Aris Bugrara",108671,"Sales"
"Along Perry",108673,"Sales"
"Gretta Rosen",108681,"Sales"
"Alagu Kroon",108699,"Sales"
"Sanjai Kambil",108711,"Sales"
"Guiseppe Atrawala",108715,"Sales"
"Eishiro Rikino",108722,"Sales"
"Thanasis Picaronny",108725,"Sales"
"Jiang Vesel",108729,"Sales"
"Kazuhide Zongker",108731,"Sales"
"JoAnna Koyama",108732,"Sales"
"Jahangir Kemmerer",108734,"Sales"
"Kwangyoen Bodoff",108746,"Sales"
"Saeko Demir",108760,"Sales"
"Sadegh Cooke",108763,"Sales"
"Kagan Mawatari",108764,"Sales"
"Georg Stentiford",108782,"Sales"
"Ziva Kitai",108793,"Sales"
"Arto Brickell",108797,"Sales"
"Ghassan Gecsei",108810,"Sales"
"Volkmar Gurbaxani",108816,"Sales"
"Nishit Majewski",108821,"Sales"
"Vitaly Poehlman",108827,"Sales"
"Giordano Heijenga",108842,"Sales"
"Georg Klerer",108849,"Sales"
"Soenke Honiden",108850,"Sales"
"Arco Reinhart",108852,"Sales"
"Xudong Bamford",108855,"Sales"
"Mahendra Apsitis",108864,"Sales"
"Jinxi Vasanthakumar",108869,"Sales"
"Pohua Penn",108874,"Sales"
"Mona Masada",108876,"Sales"
"Berna Rosen",108880,"Sales"
"Basant Deverell",108884,"Sales"
"Gadiel Mitina",108885,"Sales"
"Bikash Chiodo",108891,"Sales"
"Danny Schneeberger",108894,"Sales"
"Basim Collavizza",108895,"Sales"
"Yakkov Stamatiou",108902,"Sales"
"Flemming Bondorf",108908,"Sales"
"Ute Schurmann",108912,"Sales"
"Mingsen Rindone",108913,"Sales"
"Arne Gerteisen",108914,"Sales"
"Rosalyn Shrader",108923,"Sales"
"Yonghoan Serre",108925,"Sales"
"Claude Munck",108927,"Sales"
"Lijia Halloran",108939,"Sales"
"Marc Molberg",108948,"Sales"
"Huan Zumaque",108959,"Sales"
"Przemyslawa Rajcani",108962,"Sales"
"Roded Heping",108975,"Sales"
"Oksana Baek",108988,"Sales"
"Fay Joslin",108989,"Sales"
"Giordano Munoz",109002,"Sales"
"Brendon Vingron",109016,"Sales"
"Marl Verspoor",109020,"Sales"
"Aiichiro Coors",109047,"Sales"
"Gino Whitcomb",109057,"Sales"
"Cordelia Naudin",109060,"Sales"
"Chaosheng Gulak",109061,"Sales"
"Sumant Matzke",109072,"Sales"
"Moto Merel",109083,"Sales"
"Shietung Vitiello",109089,"Sales"
"Xianlong Hennings",109101,"Sales"
"Subir Schapiro",109102,"Sales"
"Isaac Bael",109110,"Sales"
"Arnould Garnier",109117,"Sales"
"Baruch Farris",109122,"Sales"
"Sadegh Makrucki",109123,"Sales"
"Adly Piveteau",109125,"Sales"
"Khaled Auria",109127,"Sales"
"Gro Oxenboll",109129,"Sales"
"Theron Fujisawa",109138,"Sales"
"Sachar Ressouche",109140,"Sales"
"Akemi Kushner",109149,"Sales"
"Rildo Lally",109181,"Sales"
"Serge Keohane",109186,"Sales"
"Masato Usery",109187,"Sales"
"Billie Codenie",109189,"Sales"
"Aria Eastman",109191,"Sales"
"Baruch Barbanera",109192,"Sales"
"Augustine Alencar",109197,"Sales"
"LiMin Fontan",109206,"Sales"
"Oldrich Takkinen",109209,"Sales"
"Jacqueline Harnett",109215,"Sales"
"Saddek Imataki",109216,"Sales"
"Ferdinand Mukaidono",109222,"Sales"
"Zhensheng Zongker",109224,"Sales"
"Shigeo Motley",109240,"Sales"
"Howell Suppi",109241,"Sales"
"Kristinn Matzen",109250,"Sales"
"Claudi Crabtree",109255,"Sales"
"Moti Crelier",109265,"Sales"
"Heping Navazio",109272,"Sales"
"Bedrich Itzigehl",109287,"Sales"
"Shigehito Peng",109288,"Sales"
"Vasiliy Baca",109299,"Sales"
"Heather Maginnis",109300,"Sales"
"Dmitri Fairtlough",109305,"Sales"
"Xuejia Riexinger",109309,"Sales"
"Xiaoheng Merkl",109314,"Sales"
"Yinlin Luck",109316,"Sales"
"Gift Brlek",109318,"Sales"
"Bedir Benveniste",109320,"Sales"
"Fusako Norsworthy",109321,"Sales"
"Xiaoqiang Georg",109326,"Sales"
"Tsutomu Alameldin",109334,"Sales"
"Xiaocheng Kawashima",109336,"Sales"
"Yongqiao Koprowski",109337,"Sales"
"Kazuhide Feldmann",109343,"Sales"
"Uli Gihr",109350,"Sales"
"Ottavia Halevi",109358,"Sales"
"Arnould Zeidenstein",109360,"Sales"
"Filipp Rousseau",109367,"Sales"
"Guozhong Smeets",109376,"Sales"
"Ramya Rindone",109379,"Sales"
"Kagan Luan",109380,"Sales"
"Valery Bernini",109385,"Sales"
"Christoper Kilgour",109401,"Sales"
"Arne Bael",109406,"Sales"
"Lansing Rajala",109412,"Sales"
"Heping Ouhyoung",109415,"Sales"
"Rosita Birke",109421,"Sales"
"Frazer Bultermann",109423,"Sales"
"Chrisa Koyama",109428,"Sales"
"Beshir Msuda",109434,"Sales"
"Douadi Potthoff",109437,"Sales"
"Zine Luef",109438,"Sales"
"Danil Sigstam",109441,"Sales"
"Fei Matzel",109453,"Sales"
"Stevo Rosiles",109457,"Sales"
"Kamran Matzen",109458,"Sales"
"Rafols Shokrollahi",109462,"Sales"
"Poornachandra Garrabrants",109473,"Sales"
"Kannan Reistad",109490,"Sales"
"Mariusz Esposito",109496,"Sales"
"Behnaam Salinas",109498,"Sales"
"Dzung Luef",109500,"Sales"
"Kamakshi Langford",109502,"Sales"
"Piyawadee Zlotek",109514,"Sales"
"Trygve Valtorta",109517,"Sales"
"Subhash Isaac",109533,"Sales"
"Menkae Demizu",109544,"Sales"
"Ymte Hoogerwoord",109560,"Sales"
"Serap Zeidenstein",109571,"Sales"
"Mayumi Whitcomb",109583,"Sales"
"Mona Fujisaki",109585,"Sales"
"Xuejun Chvatal",109600,"Sales"
"Jasminko Heuter",109601,"Sales"
"Gita Pouyioutas",109606,"Sales"
"Jamaludin Lalonde",109611,"Sales"
"Radhia Emiris",109613,"Sales"
"Etsuo Milicia",109614,"Sales"
"Murthy Benzmuller",109617,"Sales"
"Muzhong Shokrollahi",109618,"Sales"
"Mani Cannata",109620,"Sales"
"Chrisa Emmart",109641,"Sales"
"Faiza Ratzlaff",109643,"Sales"
"Pohua Beutelspacher",109647,"Sales"
"Masako Alencar",109654,"Sales"
"Mong Solares",109665,"Sales"
"Nevio Chinin",109671,"Sales"
"Piyush Hegner",109683,"Sales"
"Shigehiro Georgakopoulos",109685,"Sales"
"Remco Cyne",109697,"Sales"
"Taizo Kitsuregawa",109706,"Sales"
"Lidong Tomescu",109711,"Sales"
"Subhash Miyakawa",109715,"Sales"
"Martins Roohalamini",109719,"Sales"
"Jacqueline Bahl",109740,"Sales"
"Lansing Hemaspaandra",109744,"Sales"
"Tadahiko Rullman",109747,"Sales"
"Denny Milicia",109749,"Sales"
"Oldrich Gini",109754,"Sales"
"Denis Pehl",109763,"Sales"
"Leandro Rettelbach",109773,"Sales"
"Poorav Strandh",109782,"Sales"
"Akeel Schiper",109800,"Sales"
"Premal Puoti",109806,"Sales"
"Sajjad Herber",109818,"Sales"
"Tadanori Anily",109819,"Sales"
"Aleksander Luit",109824,"Sales"
"Emran Brizzi",109841,"Sales"
"Kazuyasu Melichar",109853,"Sales"
"Chinhyun Clouatre",109857,"Sales"
"Khaled Munck",109864,"Sales"
"Hitofumi Quaggetto",109869,"Sales"
"Fan Schaaf",109886,"Sales"
"Odysseas Bennis",109887,"Sales"
"Kersti Terlouw",109902,"Sales"
"Gully Kavraki",109903,"Sales"
"Howell Giveon",109913,"Sales"
"Magdalena Baranowski",109917,"Sales"
"Alair Penttonen",109922,"Sales"
"Arlette Nergos",109928,"Sales"
"Jagoda Vitiello",109929,"Sales"
"Hercules Magalhaes",109939,"Sales"
"Godehard Chorvat",109953,"Sales"
"Bodh Eickenmeyer",109958,"Sales"
"Bodo Tagansky",109963,"Sales"
"Khatoun Valette",109966,"Sales"
"Shigenori Kemmerer",109973,"Sales"
"Zhenhua Ressouche",109974,"Sales"
"Moti Murthy",109989,"Sales"
"Danel Furudate",109993,"Sales"
"Guangming Takkinen",109994,"Sales"
"Dines Gelosh",109996,"Sales"
"Przemyslawa Kaelbling",111035,"Sales"
"Hauke Zhang",111133,"Sales"
"Arvind Dechter",200003,"Sales"
"Shahar Baranowski",200011,"Sales"
"Adit Butner",200018,"Sales"
"Alper Luit",200025,"Sales"
"Nathalie Godskesen",200027,"Sales"
"Boutros Anguita",200029,"Sales"
"Hatsukazu Salvesen",200033,"Sales"
"Youngkon Portugali",200034,"Sales"
"Vishwani Linares",200041,"Sales"
"Rafail Beutelspacher",200043,"Sales"
"Phillip Penz",200049,"Sales"
"Adam Eiron",200056,"Sales"
"Gererd Glowinski",200059,"Sales"
"Sahrah Szilard",200063,"Sales"
"Gurbir Moffat",200068,"Sales"
"Candida Riefers",200079,"Sales"
"Ipke Benzaken",200081,"Sales"
"Heon Marchegay",200091,"Sales"
"Mats Kruskal",200093,"Sales"
"Isamu Kobuchi",200095,"Sales"
"Paloma Zumaque",200097,"Sales"
"Rafael Roohalamini",200099,"Sales"
"Kazuhito Akaboshi",200100,"Sales"
"Bingning Harnett",200105,"Sales"
"Eben Nivat",200116,"Sales"
"Cordelia Hempstead",200118,"Sales"
"Frazer Poehlman",200119,"Sales"
"Bangqing Erdi",200121,"Sales"
"Seongbin Weisert",200132,"Sales"
"Fay Stiles",200141,"Sales"
"Izaskun Coors",200146,"Sales"
"Deborah Zaiane",200159,"Sales"
"Bernd Vingron",200160,"Sales"
"Huan Feldmann",200166,"Sales"
"Krassimir Swist",200167,"Sales"
"Aria Staylopatis",200169,"Sales"
"Hilari Gyorkos",200171,"Sales"
"Shahab Luit",200176,"Sales"
"Giri Cronan",200177,"Sales"
"Syozo Servieres",200193,"Sales"
"Yinghua Beeson",200195,"Sales"
"Willard Matzen",200200,"Sales"
"Kazuhira Perl",200203,"Sales"
"Shugo Henders",200205,"Sales"
"Sudhanshu Kobuchi",200207,"Sales"
"Denis Choobineh",200213,"Sales"
"Gay Stiles",200225,"Sales"
"Ashish Marciano",200229,"Sales"
"Atreyi Zultner",200233,"Sales"
"Jeanna Montresor",200234,"Sales"
"Mihalis Cannard",200237,"Sales"
"Xiadong Munke",200242,"Sales"
"Chaoyi Beznosov",200247,"Sales"
"Navin Herath",200248,"Sales"
"Zorica Gyimothy",200253,"Sales"
"Wayne Imataki",200257,"Sales"
"Ult Hockney",200259,"Sales"
"Masasuke Miake",200263,"Sales"
"Van Honglei",200275,"Sales"
"Cheong Schach",200281,"Sales"
"Alagu Naudin",200286,"Sales"
"Thodoros Schurmann",200289,"Sales"
"Pranas Uchoa",200292,"Sales"
"Kirk Lammel",200295,"Sales"
"Isamu Limongiello",200298,"Sales"
"Yongdong Jiafu",200307,"Sales"
"Hitofumi Legleitner",200310,"Sales"
"Kazuhito Terlouw",200322,"Sales"
"Kwee Vakili",200329,"Sales"
"Huei Pietracaprina",200344,"Sales"
"Adly Nations",200350,"Sales"
"Shawna Zirintsis",200353,"Sales"
"Selwyn Sgarro",200374,"Sales"
"Chaitali Strehl",200376,"Sales"
"Mansur Pauthner",200382,"Sales"
"Luise Axelband",200394,"Sales"
"Byong Schapire",200420,"Sales"
"Tsutomu Openshaw",200427,"Sales"
"Irene Benner",200429,"Sales"
"Gilbert Bolotov",200433,"Sales"
"Syozo Murthy",200442,"Sales"
"Shaleah Rosin",200453,"Sales"
"Aksel Businaro",200455,"Sales"
"Parto Bednarek",200462,"Sales"
"Mantis Chelton",200464,"Sales"
"Amstein Marshall",200468,"Sales"
"Jianhua Lung",200469,"Sales"
"Xiahua Angelopoulos",200473,"Sales"
"Xianlong Harnett",200480,"Sales"
"Aiman Kulisch",200488,"Sales"
"Weiwu Vesel",200489,"Sales"
"Kien Baranowski",200510,"Sales"
"Duke Gilg",200511,"Sales"
"Tsz Uehara",200513,"Sales"
"Zhenhua Janocha",200519,"Sales"
"Woody Shumilov",200523,"Sales"
"Vugranam Isard",200535,"Sales"
"Sanjai Ushiama",200543,"Sales"
"Nidapan Danner",200546,"Sales"
"Xuedong Eiter",200548,"Sales"
"Shmuel Boissier",200554,"Sales"
"Aiman Swen",200557,"Sales"
"Along Griswold",200558,"Sales"
"Tesuro Soicher",200559,"Sales"
"Elrique Kenevan",200564,"Sales"
"Arnd Vecchi",200567,"Sales"
"Hugo Parveen",200573,"Sales"
"Izaskun Kuzuoka",200575,"Sales"
"Lalit Chenney",200578,"Sales"
"Doohun Standera",200582,"Sales"
"Stabislas Antonisse",200584,"Sales"
"Rosita Krohn",200585,"Sales"
"Shuho Restivo",200589,"Sales"
"Chikara Keustermans",200590,"Sales"
"Kagan Henders",200593,"Sales"
"Tonny Rosin",200610,"Sales"
"Ingemar Bednarek",200611,"Sales"
